student_id;gender;CW;CH;SH;PL;RI;ME;TW;CF;E/I;S/N;T/F;J/P;group_1;group_2;has_belbin;has_mbti
90;M;11;15;10;7;6;7;7;7;6;-5;2;4;2;;1;1
91;M;8;12;8;7;9;6;14;6;2;9;6;8;1;;1;1
92;M;;;;;;;;;;;;;;3;0;0
93;F;10;8;13;15;8;7;3;6;6;-5;-2;-14;8;9;1;1
94;F;11;4;20;1;5;6;11;12;6;7;-6;16;10;6;1;1
95;F;12;7;14;6;8;5;9;9;8;7;10;14;4;11;1;1
96;F;;;;;;;;;;;;;;;0;0
97;F;10;2;9;10;7;9;9;14;0;-1;-6;7;2;;1;1
98;M;;;;;;;;;;;;;;10;0;0
99;F;8;7;8;12;5;12;8;8;0;3;-2;4;8;7;1;1
100;F;11;8;15;3;8;4;18;3;6;7;-6;0;2;4;1;1
101;F;7;6;20;9;3;5;10;12;8;-1;2;4;6;1;1;1
102;F;5;9;7;18;11;6;6;8;2;-19;-2;0;9;9;1;1
103;M;10;8;1;20;9;7;6;9;4;-1;2;6;5;3;1;1
104;F;7;5;11;7;7;7;22;4;8;-3;4;-6;10;11;1;1
105;F;;;;;;;;;;;;;;6;0;0
106;F;0;13;26;7;5;3;10;6;4;15;6;18;8;9;1;1
107;F;9;6;18;8;8;7;9;5;8;7;8;12;3;;1;1
108;M;6;9;11;11;9;7;8;9;-2;-3;-8;10;6;1;1;1
109;M;;;;;;;;;;;;;;10;0;0
110;F;11;10;13;13;6;5;9;4;8;-3;-6;-2;7;8;1;1
111;F;14;7;18;3;0;4;8;16;8;7;10;16;11;5;1;1
112;M;11;7;12;8;3;7;13;10;6;6;4;12;;4;1;1
113;F;;;;;;;;;;;;;;;0;0
114;M;9;16;13;4;1;3;20;4;2;-5;-4;-2;5;5;1;1
115;M;10;12;10;9;5;6;10;8;-6;-1;-2;4;4;5;1;1
116;F;5;10;6;8;14;2;23;2;0;-11;-12;-4;8;2;1;1
117;F;4;5;15;12;3;8;9;14;6;-5;-8;2;4;3;1;1
118;F;11;10;12;8;8;11;11;0;0;1;-6;10;9;12;1;1
119;M;7;15;16;5;7;8;7;5;6;-9;-2;-4;9;;1;1
120;F;6;13;16;6;5;4;10;10;6;4;-17;-6;;2;1;1
121;F;6;5;18;17;3;2;5;13;6;-15;-8;4;1;;1;1
122;F;15;15;15;8;13;17;17;14;6;11;-4;4;6;5;1;1
123;F;3;12;15;6;9;6;16;3;;;;;;12;1;0
124;F;8;7;21;8;2;7;11;6;8;-1;-6;0;2;;1;1
125;M;11;8;6;9;10;11;9;6;2;-13;0;8;1;2;1;1
126;M;11;13;16;13;10;8;16;12;-2;-6;-8;6;;4;1;1
127;F;9;11;12;6;4;7;14;7;8;-3;-14;-8;3;4;1;1
128;F;5;6;5;20;8;0;25;1;4;-15;-4;0;9;7;1;1
129;M;7;16;10;12;1;10;10;5;2;-1;8;8;3;;1;1
130;F;15;10;7;6;6;6;10;12;4;3;-4;14;6;;1;1
131;M;;;;;;;;;;;;;;;0;0
132;M;5;11;13;7;8;6;10;10;4;4;-4;-6;7;10;1;1
133;M;8;7;19;9;11;5;2;9;8;-4;4;-6;1;1;1;1
134;F;8;9;9;9;8;9;9;9;6;4;-12;-2;;8;1;1
135;M;6;8;5;9;9;8;20;5;6;4;-6;0;5;;1;1
136;F;8;9;11;8;9;8;9;8;8;-16;-10;0;7;8;1;1
